"description","biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID",".src"
"",1,75,"Used","0","None","Black","16","iPad 2",1,10505,"Train"
"Working. Tested wifi, sound, charge port, buttons. Scratched case. Light scratches on lcd. No ",0,200,"Used","1","Verizon","Space Gray","16","iPad mini 2",0,10506,"Train"
"",1,118,"Used","0","None","Unknown","16","iPad mini",1,10507,"Train"
"",0,199.99,"Used","0","None","White","16","iPad 4",0,10508,"Train"
"",1,250,"Used","1","AT&T","Black","16","iPad mini 2",1,10509,"Train"
"",1,99,"Used","0","None","Space Gray","16","iPad mini 3",1,10510,"Train"
"",1,150,"New","0","None","Unknown","16","iPad mini",1,10511,"Train"
"no original box",0,79,"Used","0","None","Unknown","16","iPad 1",0,10512,"Train"
"",0,399.99,"New","0","None","Space Gray","32","iPad mini 2",0,10513,"Train"
"",1,59.99,"Used","0","None","Black","16","iPad mini",1,10514,"Train"
"USED BUT EXCELLENT CONDITION",0,210,"Used","0","None","White","64","iPad 2",1,10515,"Train"
"",1,92.49,"Used","0","None","Unknown","16","iPad 2",1,10516,"Train"
"",1,99,"Used","0","None","Unknown","16","iPad mini",1,10517,"Train"
"This TAB is in good condition with minor scratches on the housing or screen (does not affect ",0,154,"Used","1","Verizon","White","32","iPad 2",0,10518,"Train"
"Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ",1,149.99,"Used","0","None","Unknown","16","iPad Air",1,10519,"Train"
"Apple iPad mini 1st Generation 16GB, Wi-Fi, 7.9in - Space Gray, great condition comes with the ",0,169.99,"Used","0","None","Space Gray","16","iPad mini",0,10520,"Train"
"",1,120,"Used","1","Unknown","White","64","iPad 2",1,10521,"Train"
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ",0,195,"Used","0","None","White","64","iPad 2",0,10522,"Train"
"",0,425,"Used","1","AT&T","Gold","16","iPad Air 2",0,10523,"Train"
"",1,200,"Used","0","None","Space Gray","64","iPad mini 2",1,10524,"Train"
"",0,300,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,10525,"Train"
"Mint condition, no problem, excellent condition",1,69,"Used","0","None","Black","32","iPad 1",0,10526,"Train"
"",1,300,"Seller refurbished","0","None","White","32","iPad 4",0,10527,"Train"
"Good condition and functional 16GB iPad Mini Wifi - White. Please read full discription",1,149,"Used","0","None","White","16","iPad mini",0,10528,"Train"
"Great shape very minimal scratches. Comes with a BEETLE defense case. Does not come with cord or ",1,150,"Used","0","None","Unknown","16","iPad mini",0,10529,"Train"
"",1,110,"Used","1","Verizon","Unknown","16","iPad mini",1,10530,"Train"
"No box, purchased for company demo but never used.",1,99,"New other (see details)","0","None","White","16","iPad 2",1,10531,"Train"
"iPad has been tested and is in good working condition; Includes AC adapter USB cable; Screen and ",1,224.98,"Used","0","None","White","32","iPad 4",0,10532,"Train"
"",1,99.99,"Used","0","None","Unknown","16","iPad Air",1,10533,"Train"
"",0,89,"Used","1","AT&T","Unknown","64","iPad 1",1,10534,"Train"
"",1,380,"New","0","None","White","128","iPad Air 2",1,10535,"Train"
"The iPad is in pretty good shape. No dents or dings. Normal wear from normal use. There are some ",1,149.99,"Used","1","Verizon","Black","32","iPad 2",1,10536,"Train"
"",0,14,"Used","0","None","Black","16","Unknown",0,10537,"Train"
"",1,120,"Used","0","None","Space Gray","16","iPad mini 2",1,10538,"Train"
"This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ",0,149,"Used","1","Verizon","White","16","iPad 2",0,10539,"Train"
"Excellent condition",1,99.99,"Used","0","None","White","16","iPad 2",1,10540,"Train"
"",1,400,"Used","0","None","Space Gray","16","iPad Air",0,10541,"Train"
"Screen is perfect with a few minor scratches on the back (see photos)",1,0.01,"Used","0","None","Unknown","16","iPad 3",1,10542,"Train"
"No marks or blemishes",1,0.01,"Used","0","None","Unknown","16","iPad mini",1,10543,"Train"
"New condition 10/10 no blemishes.",0,475,"Used","0","None","Gold","64","iPad Air 2",1,10544,"Train"
"",1,99,"Used","0","None","Black","64","iPad mini",1,10545,"Train"
"Please read details below.",0,394.99,"Used","0","None","Unknown","16","iPad Air 2",0,10546,"Train"
"",0,175,"Used","0","None","Unknown","16","iPad mini",0,10547,"Train"
"this iPad is in absolutely perfect condition, everything inside it works seamlessly and not a ",1,50,"Used","0","None","Unknown","16","iPad mini",1,10548,"Train"
"",1,300,"New","0","None","Unknown","128","iPad Air 2",1,10549,"Train"
"",0,399.99,"New","1","Verizon","Space Gray","64","iPad mini",0,10550,"Train"
"",1,9.95,"Used","0","None","Unknown","32","iPad 1",1,10551,"Train"
"some light scratches and/or nicks from normal daily use. iPad is fully functional.",1,59,"Used","0","None","Unknown","32","iPad 1",1,10552,"Train"
"",1,50,"Used","0","None","Unknown","64","Unknown",1,10553,"Train"
"Great Condition - no cracks or scratches on the screen",0,234,"Used","0","None","White","16","iPad 3",0,10554,"Train"
"",0,349.99,"New","0","None","Gold","16","iPad mini 3",0,10555,"Train"
"",1,72,"Used","0","None","Space Gray","16","iPad 1",1,10556,"Train"
"condition is 9 out of 10",0,170,"Used","0","None","Space Gray","32","Unknown",1,10557,"Train"
"",1,0.99,"Used","0","None","Unknown","16","iPad mini",1,10558,"Train"
"Really good condition, been in otterbox day 1. This is the iPad 4 to get!",0,325,"Used","1","AT&T","Black","32","iPad 4",0,10559,"Train"
"A device listed in good condition with a few minor mark and/or scratches on the housing or display ",0,140,"Used","1","Verizon","White","16","iPad 2",0,10560,"Train"
"",1,0.01,"Used","0","None","Unknown","16","iPad 2",1,10561,"Train"
"conditions are good no dents minimal signs of usage .... No icloud attached",0,147.59,"Used","0","None","Black","16","iPad 2",1,10562,"Train"
"Used. Tested Cameras, speaker, charge port, headphone jack, buttons and touch. Has light scratches ",0,399.99,"Used","1","AT&T","Gold","16","iPad Air 2",0,10563,"Train"
"",1,95,"Used","0","None","Unknown","64","iPad 1",0,10564,"Train"
"This iPad Air is in EXCELLENT to LIKE NEW condition!   Included is the iPad Air 2, retail box, ",0,499,"Used","1","Verizon","Gold","64","iPad Air 2",0,10565,"Train"
"",1,45,"Used","0","None","Black","16","iPad mini",1,10566,"Train"
"This iPad is a used one but works great. It has some scratches on the rear as shown in the photos ",1,125,"Used","0","None","Space Gray","16","iPad 2",0,10567,"Train"
"",0,82.95,"Used","0","None","Unknown","16","iPad 1",0,10568,"Train"
"",1,150,"Used","0","None","White","32","iPad 2",0,10569,"Train"
"",1,0.99,"Used","1","AT&T","Black","16","iPad 4",1,10570,"Train"
"I take really good care of my toys. the iPad is in great condition :)",1,199.99,"Used","1","AT&T","White","16","iPad Air",1,10571,"Train"
"No scratches, dents, drops or liquid damage.",1,185,"Used","0","None","Unknown","16","iPad Air",1,10572,"Train"
"Like new white iPad mini no scratches always kept in case, sold with keyboard, box and cords",1,201.99,"Used","0","None","Unknown","16","iPad mini 2",1,10573,"Train"
"Minor crack in top-back housing, minor dent in lower right housing.",0,289.99,"Used","1","AT&T","Unknown","32","iPad 4",0,10574,"Train"
"",0,219.99,"Used","1","AT&T","White","16","iPad mini",0,10575,"Train"
"",1,89.99,"Used","0","None","Black","16","iPad Air",1,10576,"Train"
"Device is factory unlocked and has protective film installed, comes with 360 degree black rotation ",1,279,"Used","1","Verizon","Black","16","iPad Air",1,10577,"Train"
"",1,150,"Used","0","None","Unknown","64","iPad mini",1,10578,"Train"
"This is a Seller refurbished item and will show signs of cosmetic use. The unit will be 100% working ",1,0.99,"Seller refurbished","0","None","White","64","iPad 3",1,10579,"Train"
"",1,49.99,"Used","1","AT&T","White","64","iPad Air",1,10580,"Train"
"Perfectly good iPad 64gb 1st Generation. Works great, no cracks just a few scratches on the back. ",1,75,"Seller refurbished","0","None","Unknown","64","iPad 1",0,10581,"Train"
"",1,149.99,"Manufacturer refurbished","1","Unknown","Black","16","Unknown",1,10582,"Train"
"In Great Condition, with very minor scratches on back. Screen is in great condition. No Cracks.",0,275,"Used","0","None","White","32","iPad 3",0,10583,"Train"
"Zero Defects, Zero Scratches, Zero Dead Pixels! Absolutely Mint Condition. Exact same condition as ",1,249,"Used","0","None","White","16","iPad Air",1,10584,"Train"
"",1,0.99,"Used","Unknown","Unknown","Black","Unknown","Unknown",1,10585,"Train"
"Those used TAB are in good condition with minor scratches on the housing or screen (when the phone ",0,198,"Used","1","Verizon","White","32","iPad 1",0,10586,"Train"
"Working.  Tested buttons, wifi, sound, camera, touch. Scratched case. Light scratches on lcd. Dust ",0,300,"Used","1","AT&T","Space Gray","64","iPad Air",0,10587,"Train"
"",1,111,"Used","1","Verizon","Black","16","iPad 2",1,10588,"Train"
"",1,100,"Used","0","None","Black","16","iPad 2",1,10589,"Train"
"",0,410,"Used","1","Sprint","Space Gray","16","iPad Air 2",0,10590,"Train"
"",0,150,"Used","0","None","Black","16","iPad 2",0,10591,"Train"
"",1,300,"Used","0","None","Space Gray","64","iPad mini 3",1,10592,"Train"
"iCloud Locked. For Use if you can unlock it, or parts.",1,100,"Used","0","None","Space Gray","16","iPad Air",1,10593,"Train"
"",0,60,"Used","0","None","White","64","iPad Air 2",0,10594,"Train"
"",1,113,"Used","0","None","White","16","iPad mini",0,10595,"Train"
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ",0,155,"Used","1","Verizon","White","64","iPad 2",0,10596,"Train"
"A device listed in good condition with a few minor mark and/or scratches on the housing or display ",0,90,"Used","1","AT&T","White","32","Unknown",0,10597,"Train"
"",1,180,"New other (see details)","1","Verizon","Black","32","iPad 3",1,10598,"Train"
"",1,99.99,"Used","1","AT&T","Black","64","iPad 2",1,10599,"Train"
"Sometimes the iPad shuts off and then turns back on. The exterior is in mint condition.",1,30,"Used","0","None","Unknown","16","iPad 2",1,10600,"Train"
"Manufacture refurbished to like new conditions. Apple warranty until September 2015",0,699.95,"Manufacturer refurbished","0","None","Black","64","iPad 3",0,10601,"Train"
"",1,275,"Used","Unknown","Unknown","Unknown","128","Unknown",0,10602,"Train"
"",1,94.99,"Used","1","AT&T","Black","64","iPad 1",0,10603,"Train"
"",1,0.99,"Used","1","Verizon","Black","64","iPad 3",1,10604,"Train"
"Working. Tested Wifi, touch, sound, buttons, camera, charge port. Scratched case. Light scratches on ",0,550,"Used","1","Unknown","Unknown","128","iPad Air 2",0,10605,"Train"
"",1,0.99,"Used","0","None","Unknown","16","iPad mini",1,10606,"Train"
"",1,210,"New","Unknown","Unknown","Black","Unknown","Unknown",0,10607,"Train"
"",1,179,"Used","1","Verizon","Black","16","iPad 3",1,10608,"Train"
"A device listed in good condition with a few minor mark and/or scratches on the housing or display ",0,80,"Used","0","None","White","16","Unknown",0,10609,"Train"
"Excellent condition. Always in an iPad case of cover.",0,155,"Used","0","None","Unknown","16","iPad 2",1,10610,"Train"
"",0,150,"Used","Unknown","Unknown","White","Unknown","Unknown",1,10611,"Train"
"",0,209,"Used","1","AT&T","Unknown","16","iPad 4",1,10612,"Train"
"",0,439.99,"New","1","Sprint","Black","16","iPad Air",0,10613,"Train"
"",0,349.99,"Used","1","Verizon","White","32","iPad mini 2",0,10614,"Train"
"",1,200,"Used","0","None","Unknown","64","iPad 4",1,10615,"Train"
"",1,150,"Used","0","None","Unknown","32","iPad mini",1,10616,"Train"
"This a used Apple iPad 2 64GB, Wi-Fi, 9.7in - White (MC991LL/A) shows signs of wear, has been ",1,0.99,"Used","0","None","White","64","iPad 2",1,10617,"Train"
"Nice Apple iPad Mini 16GB Wi-Fi 7.9&#034; Space Gray MF432LL/A A1432 Locked It does work just cannot ",1,100,"Used","0","None","Black","16","iPad mini",1,10618,"Train"
"",1,395,"Manufacturer refurbished","0","None","Space Gray","64","iPad Air 2",0,10619,"Train"
"Tested, Faulty Camera. Normal Wear and Tear on Screen. Dent on Corners. Power Supply Included.",1,9.99,"Used","0","None","Unknown","16","iPad 2",1,10620,"Train"
"Like new, hardly ever used.",1,125,"Used","0","None","Unknown","32","iPad 2",1,10621,"Train"
"This item is in Heavily Used cosmetic condition. Brand New Scratch-Free Screen! 100% Fully ",0,208.99,"Used","0","None","Black","64","iPad mini",0,10622,"Train"
"",1,9.99,"Used","Unknown","Unknown","White","Unknown","iPad 2",1,10623,"Train"
"excellent",1,0.01,"Used","0","None","Black","16","iPad 3",1,10624,"Train"
"",0,559.99,"Used","1","AT&T","White","64","iPad Air 2",1,10625,"Train"
"Mint condition! Not a scratch on it and comes with a case cover (black),charger and cable",1,60,"Used","0","None","Space Gray","32","iPad 1",1,10626,"Train"
"Power cord works, however is beginning to crack. (Please see picture). VERY small dents in top and ",1,39.99,"Used","0","None","White","16","iPad 2",1,10627,"Train"
"",1,175,"Used","1","Verizon","Black","64","iPad 2",0,10628,"Train"
"This iPad has damage on the bottom corners but it is fully operational and functions as intended. ",0,229.98,"Used","0","None","White","16","iPad 3",0,10629,"Train"
"",0,180,"Used","0","None","Black","32","iPad 2",1,10630,"Train"
"Very good condition. Minor bumps and bruises. Only scratches on screen are in non-viewing black ",1,0.01,"Used","1","AT&T","Unknown","16","iPad 2",1,10631,"Train"
"",0,120,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10632,"Train"
"Small crack on top left screen, nothing major",1,50,"Used","0","None","Black","32","iPad 4",1,10633,"Train"
"In PRISTINE condition. Not a scratch or nick on it. Was always in a case (not included.). Works ",1,145,"Used","0","None","White","32","iPad mini 2",1,10634,"Train"
"",1,9.95,"Used","Unknown","Unknown","Unknown","64","iPad mini 3",1,10635,"Train"
"Used, been in case and screen protector since day 1. Literally flawless!",1,299,"Used","1","Unknown","Unknown","64","iPad mini 2",1,10636,"Train"
"",0,560,"New","0","None","Unknown","64","iPad Air 2",0,10637,"Train"
"",0,159.95,"New other (see details)","0","None","Unknown","32","iPad 1",0,10638,"Train"
"Works perfectly a few tears in the cover. Some scratches but screen is clear",1,49.95,"Used","0","None","Unknown","64","Unknown",1,10639,"Train"
"",1,0.99,"New","0","None","White","16","iPad mini",1,10640,"Train"
"",1,159,"Used","0","None","Space Gray","16","iPad 3",1,10641,"Train"
"",1,50,"Used","0","None","Unknown","16","iPad 3",1,10642,"Train"
"",0,560,"New","0","None","White","64","iPad Air 2",0,10643,"Train"
"",0,549.9,"New","1","Unknown","Gold","16","iPad Air 2",0,10644,"Train"
"",0,80,"Used","0","None","White","32","iPad 1",0,10645,"Train"
"No scratches or dents. Screen protector and case has been on since day one of opening. Smart Cover ",1,149.99,"Used","0","None","Unknown","32","iPad 2",1,10646,"Train"
"Has been covered with a Zagg InvisibleShield since it came out of the box and kept in a case.  Front ",0,449.99,"Used","0","None","White","64","iPad Air",0,10647,"Train"
"The Apple tablet is in good condition. The ESN is clean.  Instructions and Power adapter are not ",1,79.99,"Used","1","AT&T","Black","16","iPad 1",0,10648,"Train"
"",0,227.95,"Seller refurbished","0","None","Unknown","32","iPad 2",0,10649,"Train"
"",0,785,"New","1","Sprint","Gold","128","iPad Air 2",0,10650,"Train"
"A device listed in good condition with a few minor mark and/or scratches on the housing or display ",0,186,"Used","1","AT&T","White","16","Unknown",0,10651,"Train"
"Pre-owned but in perfect working order, no scratches or chips.",1,200,"Used","1","AT&T","White","16","iPad mini 2",1,10652,"Train"
"",1,200,"New","Unknown","Unknown","Space Gray","32","iPad mini 2",1,10653,"Train"
"",1,220,"Used","1","Verizon","Black","16","iPad 3",1,10654,"Train"
"In Great Condition with normal light scratches/usage",0,349.95,"Used","1","AT&T","Unknown","16","iPad Air",0,10655,"Train"
"",1,225,"Used","1","T-Mobile","Unknown","16","iPad Air",1,10656,"Train"
"&#034;Great Working Condition&#034;",1,0.99,"Used","1","AT&T","White","16","iPad mini 2",1,10657,"Train"
"",1,100,"Used","1","AT&T","Unknown","64","iPad 1",0,10658,"Train"
"Good condition fully functional. Does show some signs of wear but these were used in corporate ",1,0.01,"Used","1","AT&T","Unknown","16","iPad 2",1,10659,"Train"
"",0,329.99,"New","0","None","White","16","iPad mini 3",0,10660,"Train"
"Listed as used, because it is.Works like new, Looks like new, Excellant screen color, No scratches ",1,55,"Used","1","Verizon","Black","64","iPad 1",1,10661,"Train"
"Scratches on screen but not too noticeable. scratches on back. Fully functional",1,100,"Used","1","AT&T","Unknown","32","iPad mini",1,10662,"Train"
"This item is used but well taken care of no cosmetic wears at all . Any other questions feel free to ",0,250,"Used","0","None","Unknown","16","iPad mini",0,10663,"Train"
"I pad 2 great condition with keyword and cover",0,180,"Used","0","None","Unknown","32","iPad 2",1,10664,"Train"
"100% Fully Functional, Clean ESN &amp; iCloud Clear, professionally restored, inspected, &amp; tested. This ",0,127.99,"Seller refurbished","1","Verizon","Black","16","iPad 2",0,10665,"Train"
"Great Condition, No charger",1,0.01,"Used","0","None","Unknown","16","iPad 2",1,10666,"Train"
"",0,89.99,"Used","0","None","Black","16","iPad mini",0,10667,"Train"
"New Open Box, see pics and description below",0,469.99,"New other (see details)","1","Unknown","Space Gray","64","iPad mini 3",0,10668,"Train"
"",1,0.99,"Used","0","None","White","16","iPad 4",1,10669,"Train"
"",1,50,"Used","0","None","Unknown","64","iPad 1",1,10670,"Train"
"",1,400,"Used","1","Unknown","Unknown","128","iPad 4",0,10671,"Train"
"",1,99.99,"Used","0","None","White","16","iPad mini 2",1,10672,"Train"
"",1,179.99,"Used","0","None","White","16","iPad 2",0,10673,"Train"
"iPad is iCL0UD locked and therefore being sold AS IS for parts. iPad is in NEAR MINT physical ",0,222.72,"Used","0","None","Unknown","32","iPad mini 2",0,10674,"Train"
"Has two scratches, not too visible. Works great its like new, still have everything, only missing ",0,280,"Used","0","None","White","16","iPad Air",1,10675,"Train"
"Awesome condition. Rarely used",0,285,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10676,"Train"
"This is my personal iPad and it is in excellent used condition. This iPad has been in a top quality ",1,79,"Used","0","None","Unknown","16","iPad 1",1,10677,"Train"
"",1,99,"Used","1","AT&T","White","32","iPad 3",1,10678,"Train"
"But in excellent condition. with 2 new cases and zagg keyboard 7 color&#039;s and screen on it! with Free ",0,387.45,"Used","0","None","Black","64","iPad mini",0,10679,"Train"
"",1,239.99,"New","0","None","Space Gray","16","iPad mini 2",0,10680,"Train"
"Normal signs of wear and tear. Scratches on the back. See pictures. Comes with light blue magnetic ",0,175,"Used","0","None","Unknown","16","iPad 2",0,10681,"Train"
"",0,438,"New","0","None","White","32","iPad Air",0,10682,"Train"
"Comes with folding black case and is engraved in small letters on the back.  Still works perfectly",1,140,"Used","0","None","Unknown","32","iPad 2",0,10683,"Train"
"",1,139.99,"Used","0","None","Black","16","iPad 4",1,10684,"Train"
"",1,99.99,"Used","0","None","Space Gray","16","iPad mini",1,10685,"Train"
"In good condition with slight dents on two corners does not effect iPad performance. Please see ",0,199,"Used","Unknown","Unknown","Black","Unknown","iPad 3",1,10686,"Train"
"Swiped memory. Just like new.",1,80,"Used","0","None","White","Unknown","iPad 1",0,10687,"Train"
"Opened box, functional, no cosmetic damages, includes accessories. Please contact us with any ",1,0.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,10688,"Train"
"",0,200,"New other (see details)","0","None","Unknown","16","iPad mini",1,10689,"Train"
"Fully working. Normal wear and tear.  iPad ONLY.",0,185,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10690,"Train"
"Brand new, never been used. Plastic has not been removed from iPad, however the box is not sealed in ",1,449.99,"New other (see details)","Unknown","Unknown","Gold","16","iPad mini 3",0,10691,"Train"
"Comes with original packaging, and has absolutely no scratches or marks.Absolutely beautiful item!It ",1,49.99,"Used","0","None","Unknown","16","iPad Air",1,10692,"Train"
"New Open Box",0,259.99,"New other (see details)","1","Sprint","Black","64","iPad mini",1,10693,"Train"
"GOOD COSMETIC AND PERFECT WORKING CONDITION! HAS JUST TWO DENTS ON CORNERS! SCREEN FREE OF ",1,149,"Used","0","None","Space Gray","16","iPad mini",1,10694,"Train"
"New open box appears to be new, liquidation stock powers on works as it should.",1,175,"New other (see details)","0","None","White","16","iPad mini",0,10695,"Train"
"Lightly used. The ipad has spent most of its time protected by an Otterbox while in storage. Works ",1,150,"Used","1","Unknown","White","64","iPad 3",1,10696,"Train"
"used but works great and outer condition great",1,50,"Used","Unknown","Unknown","Unknown","64","iPad 1",1,10697,"Train"
"",1,1,"New","1","Sprint","Gold","64","iPad Air 2",1,10698,"Train"
"Excellent condition, no scratches or defects. Fully Functional. Been kept in case and screen ",1,9.99,"Used","0","None","White","64","iPad 1",1,10699,"Train"
"",0,319.99,"Used","1","Verizon","Unknown","64","iPad 4",0,10700,"Train"
"",0,194.95,"Used","1","Verizon","Black","64","iPad 2",1,10701,"Train"
"",1,80,"Used","0","None","White","16","iPad 4",1,10702,"Train"
"",1,218,"Used","1","AT&T","Black","16","iPad 4",1,10703,"Train"
"",1,0.99,"Used","0","None","White","16","iPad 4",1,10704,"Train"
"Brand New except the box was opened but unused.",1,210,"New other (see details)","0","None","Space Gray","16","iPad mini",0,10705,"Train"
"Ipad was only used a few times and is in mint like new condition. Comes with a high speed charger, ",1,150,"Used","0","None","Black","16","iPad 1",0,10706,"Train"
"THIS MINI IS IN GREAT CONDITION!!",0,429,"Used","1","Verizon","Black","32","iPad mini",0,10707,"Train"
"In working condition, cosmetic damages to the housing that do not affect its function. Fully ",1,0.99,"Used","1","AT&T","Black","16","iPad 1",1,10708,"Train"
"",0,215.99,"Used","0","None","Unknown","32","iPad 2",0,10709,"Train"
"",0,219.99,"New","0","None","Space Gray","16","iPad mini",0,10710,"Train"
"",0,199.99,"Used","0","None","White","16","iPad mini",0,10711,"Train"
"Minor signs of use on screen and back.  Nothing that affects function.",1,0.99,"Used","1","AT&T","Black","64","iPad 1",1,10712,"Train"
"Excellent condition, no scratches or defects. Fully Functional. Been kept in case and screen ",1,9.99,"Used","0","None","White","64","iPad 1",1,10713,"Train"
"Used. Absolute must-have. Some signs of use. Scratches on the back of the tablet. See photos. Comes ",1,112,"Used","0","None","Unknown","32","iPad 2",1,10714,"Train"
"Used",1,89.99,"Used","1","Other","Gold","16","iPad 3",1,10715,"Train"
"",1,80,"Used","1","AT&T","Black","16","iPad 4",1,10716,"Train"
"A device listed in good condition with a few minor mark and/or scratches on the housing or display ",0,288,"Used","1","Verizon","White","16","iPad 2",1,10717,"Train"
"Customer Returned ITem - 2 Corners dented - Small Scuffs",0,159.95,"Seller refurbished","Unknown","Unknown","Unknown","Unknown","iPad mini",0,10718,"Train"
"",0,319,"Used","1","Sprint","Space Gray","16","iPad Air",0,10719,"Train"
"",1,10,"Used","1","Unknown","Unknown","16","iPad 3",1,10720,"Train"
"Great condition! Minor scratches on back.",1,99.99,"Used","0","None","White","32","iPad 3",1,10721,"Train"
"Includes AC adapter, case, screen protector and box; Case and screen protector have scuffs and ",1,244.96,"Used","0","None","White","32","iPad 4",0,10722,"Train"
"Absolute must-have. Signs of use. Scratches on the back of the device. Check out the photos. Item ",1,56,"Used","0","None","Unknown","16","iPad 1",1,10723,"Train"
"",0,340,"New","0","None","White","16","iPad mini 3",0,10724,"Train"
"",1,129.99,"Used","0","None","Space Gray","16","iPad mini",1,10725,"Train"
"Looks brand new. Doesn&#039;t have the box for it. Only has 1 scratch one it, very small. Not even ",1,0.99,"New other (see details)","0","None","Black","16","iPad 1",1,10726,"Train"
"",1,150,"Used","0","None","White","32","iPad Air",1,10727,"Train"
"",1,79.97,"Used","0","None","Black","32","iPad 2",1,10728,"Train"
"This iPad 3 is in great condition. It has been protected the whole time with a ZooGue case. No ",1,0.99,"Used","0","None","Black","32","iPad 3",1,10729,"Train"
"",1,300,"New","0","None","Space Gray","32","iPad Air",1,10730,"Train"
"",1,459,"New","0","None","Unknown","16","iPad Air 2",0,10731,"Train"
"",0,99.99,"Used","0","None","Unknown","32","iPad 1",1,10732,"Train"
"The body has some scratches and there are some dings by the charging port and one on the top left ",0,209.99,"Used","0","None","Unknown","32","iPad 3",0,10733,"Train"
"",1,19.99,"Seller refurbished","0","None","Black","16","iPad mini",1,10734,"Train"
"",0,80,"Used","0","None","Black","32","iPad 1",0,10735,"Train"
"NO RESERVE - Works great, factory reset, has an extremely light and thin surface scratch on the ",1,99.97,"Used","1","AT&T","Space Gray","32","iPad mini 2",1,10736,"Train"
"Near perfect cosmetic, perfect working condition.",0,220,"Used","0","None","Unknown","16","iPad 3",0,10737,"Train"
"",1,350,"New","0","None","Space Gray","64","iPad Air 2",0,10738,"Train"
"Will contain light scratches and other blemishes.",0,169.99,"Used","1","Verizon","Unknown","32","iPad 2",0,10739,"Train"
"WORK PERFECT SOME DINGS PLEASE REFER TO ALL PICTURES....",1,100,"Used","0","None","Black","64","iPad 3",1,10740,"Train"
"Item is used and shows general wear associated with normal use. It has visible cosmetic ",1,199.97,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10741,"Train"
"",0,559.99,"New","0","None","Gold","128","iPad mini 3",0,10742,"Train"
"",1,90,"Used","0","None","Unknown","16","iPad 1",0,10743,"Train"
"One year old bought brand new",0,320,"New other (see details)","Unknown","Unknown","Black","16","iPad Air",0,10744,"Train"
"",1,174,"New","Unknown","Unknown","Space Gray","16","Unknown",1,10745,"Train"
"",0,400,"New","1","Sprint","Unknown","128","iPad 4",0,10746,"Train"
"",0,209,"Used","1","AT&T","Unknown","16","iPad 4",0,10747,"Train"
"",1,350,"New other (see details)","1","Sprint","White","64","iPad mini 2",0,10748,"Train"
"",1,95,"Used","1","Verizon","Black","64","iPad 3",1,10749,"Train"
"Slight crack on very top screen.",1,0.99,"Used","0","None","Black","16","iPad mini 3",1,10750,"Train"
"",0,200,"Used","1","Verizon","White","16","iPad 2",0,10751,"Train"
"I have always kept a case and screen protector on the iPad. I only used it at home, so it&#039;s in mint ",1,265,"Used","1","T-Mobile","Unknown","16","iPad Air",0,10752,"Train"
"Good Condition. Fully Functional.",1,0.99,"Used","0","None","White","16","iPad 2",1,10753,"Train"
"Good Condition",0,149.99,"Used","0","None","Black","16","iPad 2",1,10754,"Train"
"Good working and fully functional 16GB iPad Air Wifi &amp; cellular. Please read full discription",1,199,"Used","1","AT&T","Space Gray","16","iPad Air",1,10755,"Train"
"",1,125,"Used","0","None","Unknown","16","iPad 3",1,10756,"Train"
"",1,75,"Used","0","None","White","16","iPad 2",1,10757,"Train"
"",1,0.99,"Used","0","None","Unknown","16","iPad 2",1,10758,"Train"
"Used, in super great condition plastic is till on, used for less than a year",1,99.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,10759,"Train"
"",1,150,"Used","0","None","Black","16","Unknown",0,10760,"Train"
"",1,0.99,"Used","1","Verizon","Black","64","iPad 3",1,10761,"Train"
"",1,449.99,"New","0","None","Unknown","64","iPad mini 3",0,10762,"Train"
"",0,180,"New","0","None","Black","32","iPad 1",1,10763,"Train"
"",0,400,"Used","0","None","Black","64","iPad mini",0,10764,"Train"
"Works great -- One owner",0,249.99,"Used","0","None","Black","64","iPad 3",0,10765,"Train"
"",1,199,"Used","0","None","Black","16","iPad 3",0,10766,"Train"
"",0,614.99,"New other (see details)","1","Unknown","Space Gray","128","iPad mini 3",0,10767,"Train"
"Screen is flawless.  There are a few minor scratches on the body.",1,1,"Used","1","Verizon","Unknown","16","iPad Air",1,10768,"Train"
"",1,0.99,"Used","0","None","Black","16","iPad 1",1,10769,"Train"
"",0,260,"Manufacturer refurbished","1","Verizon","Unknown","16","iPad mini",0,10770,"Train"
"Great condition",0,265,"Used","0","None","Unknown","16","iPad 4",0,10771,"Train"
"",0,129.99,"Used","0","None","Black","64","iPad 1",0,10772,"Train"
"",1,50,"New","0","None","White","64","iPad Air 2",1,10773,"Train"
"",1,266.05,"Used","0","None","Unknown","16","iPad Air",0,10774,"Train"
"",1,485,"New other (see details)","0","None","Unknown","64","iPad Air 2",1,10775,"Train"
